State,Overall,OverallSE,White,WhiteSE,Black,BlackSE,Hispanic,HispanicSE,Asian,AsianSE,Multiracial,MultiracialSE,Degree
Maine ,93.063838,0.321911,93.479311,0.321441,76.97532,6.245583,92.906436,2.204112,82.828839,5.888736,85.003146,4.585165,High School
Maryland ,90.462432,0.196721,94.182685,0.17331,90.52075,0.384583,67.738275,1.542608,89.220951,0.820007,93.510302,1.204363,High School
Massachusetts ,91.37307,0.198861,94.705649,0.161606,87.229234,0.779888,73.741601,0.918839,86.566287,0.999405,94.241028,1.081502,High School
Michigan ,91.351709,0.145981,92.763461,0.143648,88.129824,0.581166,76.228321,1.593162,90.612096,1.023623,88.991725,1.25312,High School
Minnesota ,93.517984,0.177209,95.944178,0.131522,82.307993,1.463033,71.979279,2.229136,83.156845,1.412739,95.561004,1.121662,High School
Mississippi ,85.120233,0.309234,88.441261,0.402897,80.644169,0.664094,67.813321,2.98509,82.666322,3.062068,87.937659,3.202817,High School
Missouri ,90.644138,0.20221,91.509365,0.218171,87.755537,0.640119,79.165238,1.566955,90.050446,1.459173,91.635214,1.6478,High School
Montana ,94.237519,0.379224,94.783899,0.408253,NA,NA,84.108187,4.142799,98.418701,1.909033,97.825132,1.241767,High School
Nebraska ,92.198963,0.305641,95.72661,0.247728,87.635374,2.675971,63.158338,2.512131,80.279707,2.892888,93.481894,3.098454,High School
Nevada ,86.89195,0.326562,94.310766,0.295709,89.916579,0.817261,67.064187,1.143268,90.601492,0.851791,91.678412,1.593267,High School
New Hampshire ,93.455328,0.328279,93.991852,0.381775,86.234995,4.480233,81.302316,2.368721,92.564182,2.591446,90.54986,3.342233,High School
New Jersey ,90.358426,0.149527,94.916781,0.132936,89.240469,0.426545,75.592807,0.648518,92.630609,0.436064,90.627514,1.621704,High School
New Mexico ,86.082257,0.403006,94.378782,0.369146,91.350368,2.121633,78.308602,0.790064,89.774632,2.737428,93.33579,2.609155,High School
New York ,87.624312,0.130079,93.79048,0.11426,86.014703,0.395742,72.507412,0.549426,80.044578,0.479399,88.02958,0.989654,High School
North Carolina ,88.60907,0.165027,92.306817,0.15678,86.208298,0.442001,62.407598,0.98295,87.632865,0.932839,90.621143,1.605108,High School
North Dakota ,93.398769,0.495741,94.637133,0.436885,96.500735,2.213557,80.8143,5.203193,77.708452,11.305352,93.00828,6.010111,High School
Ohio ,90.873955,0.135947,92.123931,0.139065,86.709487,0.454917,78.066707,1.378768,87.09357,1.111861,88.09044,1.398963,High School
Oklahoma ,88.286618,0.256631,91.45896,0.251229,88.953874,1.120138,63.319885,1.570141,81.456357,2.371493,89.498745,1.173617,High School
Oregon ,91.269271,0.227794,94.358653,0.204749,90.189241,2.087529,68.687098,1.442482,87.215357,1.307084,93.384544,1.164569,High School
Pennsylvania ,91.095645,0.14239,93.121748,0.12716,88.526703,0.624729,72.834354,1.027555,84.158864,1.126519,90.176608,1.646035,High School
Rhode Island ,89.461925,0.538835,92.2144,0.487441,92.495771,1.624214,72.79719,2.651631,89.405363,2.247866,88.437135,3.435374,High School
South Carolina ,88.265114,0.23087,91.440941,0.257331,83.804918,0.530125,66.225632,1.902246,86.829835,2.018478,90.286083,2.45813,High School
South Dakota ,92.286003,0.579866,94.41737,0.480617,78.353503,8.296019,75.255848,6.276935,67.911921,8.375148,91.835423,7.214582,High School
Tennessee ,87.955912,0.211292,89.478627,0.235153,87.513615,0.593796,61.772062,1.60155,86.854104,2.022447,87.922744,1.725978,High School
